method,domain,n_backbones,mean_auroc,spread,spread_ci_lo,spread_ci_hi,auroc_convnext_tiny,auroc_densenet121,auroc_effb3,auroc_efficientnet_v2_s,auroc_mobilenet_v3_large,auroc_regnet_y_3_2gf,auroc_resnet18,auroc_resnet50
Energy,camelyon17,8,0.7505290163737877,0.13579006517354794,0.03876540776773436,0.1694729666210318,0.8769184352292436,0.8773582061503491,0.8024176161043928,0.7864335871121404,0.7796698181198943,0.8001330298387452,0.5691424314029707,0.5121590070325651
kNN,camelyon17,8,0.9175855623564382,0.041106755351043064,0.01986190374907359,0.051557659342121455,0.9163675992014384,0.9733908279134902,0.9337817511600918,0.855747163030663,0.9039415920175566,0.9558157778569504,0.9355794932409622,0.8660602944303518
ELogitNorm,camelyon17,8,0.7456560707967326,0.13065631161318275,0.034317932436745684,0.16319004207869403,0.8450874347077492,0.8826700334987353,0.802962235405773,0.7790827245752001,0.7736391545181995,0.7940980513382327,0.5743445370385604,0.5133643952914103
Mahalanobis,camelyon17,8,0.9208793727224557,0.04454427659623015,0.023842907480638425,0.05293965811880275,0.9283402419476732,0.9883077363415452,0.8851933435164921,0.8800892883643183,0.869686967850166,0.9641097914784724,0.9557756731031954,0.8955319391777833
MSP,camelyon17,8,0.7440728776355723,0.12965684630110927,0.035799184931579846,0.16273245997177904,0.8456347543899265,0.8826714444722252,0.8025890589300444,0.7782816365375451,0.7705243528524107,0.7835737659603085,0.5743335363500264,0.5149744715920921
ReAct,camelyon17,8,0.7806400359413397,0.0788726447245171,0.041300679885520476,0.10137897354369274,0.6915910178762406,0.9178707070706787,0.801152726103781,0.7959916981017431,0.7799656233256622,0.8469984356569323,0.6897375441817752,0.7218125352139044
ViM,camelyon17,8,0.74857730636518,0.0741071632397251,0.032603514392172774,0.09761898906263218,0.8122697021506606,0.8794941640945317,0.7339452093296798,0.73346614257792,0.6954997164319895,0.779570704370298,0.7148266003441744,0.6395462116221866
Energy,midog,8,0.49931770714498835,0.07449727409841375,0.03740287982126017,0.09598258397575211,0.5601740783393029,0.4314547975498885,0.5332468836953103,0.5078985987598235,0.4581389791562317,0.6091587563672791,0.3760687510884959,0.5184008122035747
kNN,midog,8,0.7017806864713292,0.10295660178603816,0.040149755584431845,0.13801589052639843,0.6549383624431451,0.7775910927621267,0.6433027631932453,0.5590069407223697,0.6743773803464556,0.904703787358192,0.684021960278169,0.7163032046669304
ELogitNorm,midog,8,0.5237932546331111,0.08493738574113549,0.04239332999190591,0.10985683830593912,0.6020506250160321,0.460284244249704,0.5777925235688894,0.5321256485410443,0.4834008594561098,0.6422368810086662,0.3767140857106984,0.5157411695137444
Mahalanobis,midog,8,0.7743484719205185,0.12258839896162403,0.066781594123931,0.154547888440611,0.8006503298901986,0.9103767917148756,0.6730738854139524,0.5808646133865082,0.7143347990619695,0.9441481785497792,0.7326721578612693,0.8386670194855953
MSP,midog,8,0.48985918407022533,0.0386957290217622,0.01986007163798997,0.049518988641101214,0.5206071680745672,0.4465772963719503,0.4856791066840736,0.4931213809620886,0.4692541254838321,0.5531857659163415,0.437998936142924,0.5124496929260255
ReAct,midog,8,0.5089629621129172,0.0721392578301601,0.034503301405277506,0.09596649759701531,0.5223740753691436,0.4377859622168729,0.5524347881263829,0.5101721207342774,0.4662812659899203,0.6409759133577517,0.4111098810451181,0.5305696900638719
ViM,midog,8,0.6091487995830976,0.06420016498488289,0.03200325111147147,0.08181656514193217,0.7098424330465329,0.5536140763951987,0.5809834197604702,0.5103159034482199,0.5931327215705123,0.6550585188895384,0.6091054285062393,0.6611378950480694
Energy,skin_isic_pad,8,0.7086202464860185,0.030833318508939223,0.008490451270304575,0.039773748498759476,0.6734218085562125,0.696329766365887,0.6972790035940241,0.7437600616891462,0.7019823500498292,0.6953399441731265,0.7673714922189603,0.6934775452409621
kNN,skin_isic_pad,8,0.8976035705749987,0.032339925728573686,0.012370426082498871,0.04386186015567287,0.9150308671203164,0.8965466704545967,0.896019065914492,0.8492539130670057,0.9065643925558156,0.9551400857695586,0.8618623087433542,0.9004112609748509
ELogitNorm,skin_isic_pad,8,0.7165272685867864,0.022601741661421784,0.0123724511934592,0.02800972564892692,0.7392032720500368,0.6811036404713268,0.7022980108857895,0.7364976077418075,0.7105547964664023,0.7218870204773693,0.7439178921071262,0.696755908494433
Mahalanobis,skin_isic_pad,8,0.9446545092150416,0.027465532968263796,0.01114606471862897,0.03609325716153404,0.948127905770731,0.9720482329757346,0.9510207118602796,0.8899764156261132,0.9262210437551012,0.9685218504940092,0.934750650486794,0.9665692627515704
MSP,skin_isic_pad,8,0.7178934881424262,0.024220093910125966,0.012413323713723008,0.030976785016949365,0.7548397570313451,0.6801814598862719,0.70330925292099,0.7367287165681354,0.714444188909482,0.7202692586930739,0.7358076633432089,0.6975676077869019
ReAct,skin_isic_pad,8,0.69820935754001,0.0673430911099858,0.013542016820380393,0.09685573987596266,0.5472837385065635,0.6881947356791442,0.7159751439638884,0.7389665264230667,0.7119797796687366,0.7073305464990958,0.7795357080047078,0.6964086815748771
ViM,skin_isic_pad,8,0.7714336526017217,0.037103183562072664,0.014418649796861149,0.04882965348802432,0.8038100262900382,0.7498568252636897,0.7643388934734867,0.7550719932178014,0.7575364024585469,0.7175782500665142,0.7844509981646576,0.8388258318790389
