domain,method,backbone,family,family_label,auroc
camelyon17,Energy,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.8769184352292436
camelyon17,Energy,densenet121,dense_connection,dense-connection (DenseNet121),0.8773582061503491
camelyon17,Energy,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.8024176161043928
camelyon17,Energy,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7864335871121404
camelyon17,Energy,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.7796698181198943
camelyon17,Energy,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.8001330298387452
camelyon17,Energy,resnet18,resnet_like,ResNet-like (R18/R50),0.5691424314029707
camelyon17,Energy,resnet50,resnet_like,ResNet-like (R18/R50),0.5121590070325651
camelyon17,kNN,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.9163675992014384
camelyon17,kNN,densenet121,dense_connection,dense-connection (DenseNet121),0.9733908279134902
camelyon17,kNN,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.9337817511600918
camelyon17,kNN,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.855747163030663
camelyon17,kNN,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.9039415920175566
camelyon17,kNN,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.9558157778569504
camelyon17,kNN,resnet18,resnet_like,ResNet-like (R18/R50),0.9355794932409622
camelyon17,kNN,resnet50,resnet_like,ResNet-like (R18/R50),0.8660602944303518
camelyon17,ELogitNorm,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.8450874347077492
camelyon17,ELogitNorm,densenet121,dense_connection,dense-connection (DenseNet121),0.8826700334987353
camelyon17,ELogitNorm,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.802962235405773
camelyon17,ELogitNorm,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.7790827245752001
