domain,backbone,family,method,auroc,rank
camelyon17,convnext_tiny,modern_cnn,MSP,0.8456347543899265,4.0
camelyon17,convnext_tiny,modern_cnn,Energy,0.8769184352292436,3.0
camelyon17,convnext_tiny,modern_cnn,ELogitNorm,0.8450874347077492,5.0
camelyon17,convnext_tiny,modern_cnn,ViM,0.8122697021506606,6.0
camelyon17,convnext_tiny,modern_cnn,ReAct,0.6915910178762406,7.0
camelyon17,convnext_tiny,modern_cnn,Mahalanobis,0.9283402419476732,1.0
camelyon17,convnext_tiny,modern_cnn,kNN,0.9163675992014384,2.0
camelyon17,densenet121,dense_connection,MSP,0.8826714444722252,4.0
camelyon17,densenet121,dense_connection,Energy,0.8773582061503491,7.0
camelyon17,densenet121,dense_connection,ELogitNorm,0.8826700334987353,5.0
camelyon17,densenet121,dense_connection,ViM,0.8794941640945317,6.0
camelyon17,densenet121,dense_connection,ReAct,0.9178707070706787,3.0
camelyon17,densenet121,dense_connection,Mahalanobis,0.9883077363415452,1.0
camelyon17,densenet121,dense_connection,kNN,0.9733908279134902,2.0
camelyon17,effb3,efficientnet_like,MSP,0.8025890589300444,4.0
camelyon17,effb3,efficientnet_like,Energy,0.8024176161043928,5.0
camelyon17,effb3,efficientnet_like,ELogitNorm,0.802962235405773,3.0
camelyon17,effb3,efficientnet_like,ViM,0.7339452093296798,7.0
camelyon17,effb3,efficientnet_like,ReAct,0.801152726103781,6.0
camelyon17,effb3,efficientnet_like,Mahalanobis,0.8851933435164921,2.0
camelyon17,effb3,efficientnet_like,kNN,0.9337817511600918,1.0
camelyon17,efficientnet_v2_s,efficientnet_like,MSP,0.7782816365375451,6.0
camelyon17,efficientnet_v2_s,efficientnet_like,Energy,0.7864335871121404,4.0
camelyon17,efficientnet_v2_s,efficientnet_like,ELogitNorm,0.7790827245752001,5.0
camelyon17,efficientnet_v2_s,efficientnet_like,ViM,0.73346614257792,7.0
camelyon17,efficientnet_v2_s,efficientnet_like,ReAct,0.7959916981017431,3.0
camelyon17,efficientnet_v2_s,efficientnet_like,Mahalanobis,0.8800892883643183,1.0
camelyon17,efficientnet_v2_s,efficientnet_like,kNN,0.855747163030663,2.0
camelyon17,mobilenet_v3_large,lightweight,MSP,0.7705243528524107,6.0
camelyon17,mobilenet_v3_large,lightweight,Energy,0.7796698181198943,4.0
camelyon17,mobilenet_v3_large,lightweight,ELogitNorm,0.7736391545181995,5.0
camelyon17,mobilenet_v3_large,lightweight,ViM,0.6954997164319895,7.0
camelyon17,mobilenet_v3_large,lightweight,ReAct,0.7799656233256622,3.0
camelyon17,mobilenet_v3_large,lightweight,Mahalanobis,0.869686967850166,2.0
camelyon17,mobilenet_v3_large,lightweight,kNN,0.9039415920175566,1.0
camelyon17,regnet_y_3_2gf,nas_designed,MSP,0.7835737659603085,6.0
camelyon17,regnet_y_3_2gf,nas_designed,Energy,0.8001330298387452,4.0
camelyon17,regnet_y_3_2gf,nas_designed,ELogitNorm,0.7940980513382327,5.0
camelyon17,regnet_y_3_2gf,nas_designed,ViM,0.779570704370298,7.0
camelyon17,regnet_y_3_2gf,nas_designed,ReAct,0.8469984356569323,3.0
camelyon17,regnet_y_3_2gf,nas_designed,Mahalanobis,0.9641097914784724,1.0
camelyon17,regnet_y_3_2gf,nas_designed,kNN,0.9558157778569504,2.0
camelyon17,resnet18,resnet_like,MSP,0.5743335363500264,6.0
camelyon17,resnet18,resnet_like,Energy,0.5691424314029707,7.0
camelyon17,resnet18,resnet_like,ELogitNorm,0.5743445370385604,5.0
camelyon17,resnet18,resnet_like,ViM,0.7148266003441744,3.0
camelyon17,resnet18,resnet_like,ReAct,0.6897375441817752,4.0
camelyon17,resnet18,resnet_like,Mahalanobis,0.9557756731031954,1.0
camelyon17,resnet18,resnet_like,kNN,0.9355794932409622,2.0
camelyon17,resnet50,resnet_like,MSP,0.5149744715920921,5.0
camelyon17,resnet50,resnet_like,Energy,0.5121590070325651,7.0
