backbone,seed,train_frac,ood_split,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status,arch,input_size
resnet18,42,1.0,test,0.9557756731031954,0.5743335363500264,0.381442136753169,0.0519900169761478,0.048580626881777,0.0552932252587159,-0.7248733002527175,-0.7618982893575239,-0.6861709242993521,0.3389769023501103,0.0009990009990009,33560,85054,trim_1pct,appendix,,
resnet50,42,1.0,test,0.8955319391777833,0.5149744715920921,0.3805574675856912,0.2495394638544515,0.2456087012991928,0.2532219395698969,0.2796050300651291,0.2249937476339034,0.3378103222336021,0.3120329971275924,0.0009990009990009,33560,85054,trim_1pct,appendix,,
effb3,42,1.0,test,0.8851933435164921,0.8025890589300444,0.0826042845864477,0.3469358968132267,0.3429595618717622,0.3510242694250259,-5.574223898550388,-5.625906576795782,-5.524005443897055,0.2169296395348345,0.0009990009990009,33560,85054,trim_1pct,appendix,,
effb3_224,42,1.0,test,0.91591181605219,0.7871400800187152,0.1287717360334749,0.3102371954312367,0.3063568965751886,0.3143903864897157,-4.929436779712138,-4.980967764453471,-4.878506662677009,0.1538126647954635,0.0009990009990009,33560,85054,trim_1pct,appendix,effb3,224.0
densenet121,42,1.0,test,0.9883077363415452,0.8826714444722252,0.1056362918693201,0.2386644866961052,0.2349172376740276,0.2424163602832608,-4.83806590162864,-4.874945161278395,-4.8006210858615646,0.2252000886796892,0.0009990009990009,33560,85054,trim_1pct,appendix,,
convnext_tiny,42,1.0,test,0.9283402419476732,0.8456347543899265,0.0827054875577467,0.2394098587725314,0.2358627532697432,0.2427446360375018,-3.2687451844705446,-3.2977238538982387,-3.240485807773512,0.1384944848569269,0.0009990009990009,33560,85054,trim_1pct,appendix,,
mobilenet_v3_large,42,1.0,test,0.869686967850166,0.7705243528524107,0.0991626149977552,0.1538703894124746,0.1468041458308939,0.1611123226492033,-9.979268363575128,-10.122591723583868,-9.83324343688778,0.1569095467929801,0.0009990009990009,33560,85054,trim_1pct,appendix,,
regnet_y_3_2gf,42,1.0,test,0.9641097914784724,0.7835737659603085,0.180536025518164,-0.017737608817251,-0.0233220601650837,-0.0125193042122597,-10.06360396901973,-10.189255112109295,-9.940550942261648,0.2205832794055319,0.0009990009990009,33560,85054,trim_1pct,appendix,,
efficientnet_v2_s,42,1.0,test,0.9084206864597806,0.7259852217421827,0.1824354647175978,0.0343887130604053,0.0289027998756959,0.0398877478509934,-8.04635070614262,-8.16721333247176,-7.930380176810231,0.1977196682631815,0.0009990009990009,33560,85054,trim_1pct,appendix,,
efficientnet_v2_s_224,42,1.0,test,0.8800892883643183,0.7782816365375451,0.1018076518267732,0.0690094830857151,0.0642487360324086,0.0735942312298238,-5.900662770246086,-5.976888428757109,-5.83284445095633,0.1296004483904455,0.0009990009990009,33560,85054,trim_1pct,appendix,efficientnet_v2_s,224.0
vit_b_16,42,1.0,test,0.9578158710530194,0.883727680834216,0.07408819021880331,0.34837023008921175,0.3441020886636652,0.3526780433632525,-4.2355461380734765,-4.265302145392391,-4.205281928295452,0.1670242281287776,0.000999000999000999,33560,85054,trim_1pct,appendix,vit_b_16,224.0
