backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet18,gaussian_noise,1,0.07946289499999992,0.07555960137500001,0.08343714787499992,-4.400832023162364,-4.481932390673142,-4.317014953165855,0.9240465149999999,0.84458362,42.364970684051514
resnet18,gaussian_noise,2,0.07226993999999998,0.06840951525,0.07594516924999993,-5.245487794635324,-5.317223239481706,-5.170234430092615,0.9872649,0.91499496,40.615427017211914
resnet18,gaussian_noise,3,0.0999526300000001,0.09504303449999987,0.10465440875000014,-4.712113765937992,-4.7786943490182,-4.640003264422211,0.9982158600000001,0.89826323,39.95885229110718
resnet18,gaussian_noise,4,0.11708020500000005,0.11171866074999998,0.12208055612500004,-4.381967522709023,-4.447841323160627,-4.312004131298269,0.9993616900000001,0.882281485,39.932730197906494
resnet18,gaussian_noise,5,0.13392345000000005,0.12800241112499997,0.13944133412500023,-4.117440025024055,-4.181729161059908,-4.043555021107135,0.9997247750000001,0.8658013250000001,38.391499042510986
resnet18,shot_noise,1,0.07347520499999993,0.0689659,0.07797345200000015,-3.0811030037002247,-3.1709608870617507,-2.991097346244276,0.822333625,0.74885842,41.1300106048584
resnet18,shot_noise,2,0.07702531499999998,0.07326576050000004,0.0807571094999999,-4.380465690692342,-4.464646322585604,-4.293576150287728,0.9213551149999999,0.8443297999999999,39.699777364730835
resnet18,shot_noise,3,0.07456887499999998,0.07048716212500004,0.07825358550000015,-5.242722153192601,-5.314486210903556,-5.168073835633303,0.98793096,0.913362085,40.385249376297
resnet18,shot_noise,4,0.08443736999999996,0.08018334637499992,0.088572926875,-5.117465499660038,-5.182001983340979,-5.042808765228161,0.9949963199999999,0.91055895,38.95663142204285
resnet18,shot_noise,5,0.104894555,0.09989179274999982,0.10975160874999992,-4.745028346932802,-4.810019916918131,-4.6721387916635715,0.99870762,0.893813065,38.39866852760315
resnet18,impulse_noise,1,0.09978027,0.09486192724999998,0.10409543049999986,-3.3771195914999286,-3.465276223138825,-3.2910314495453274,0.8747535750000001,0.7749733050000001,40.597071170806885
resnet18,impulse_noise,2,0.10064116000000012,0.09633219324999995,0.10457031300000005,-4.533211746037302,-4.618875637977731,-4.450526929261768,0.96384483,0.8632036699999999,40.35942196846008
