domain,backbone,n_id_val,n_calib,n_eval,spearman_msp_maha_calib,rho_thresh,gate_choice,auroc_msp_eval,auroc_maha_eval,auroc_vim_eval,auroc_gate_eval,cov10_msp_ood,cov10_maha_ood,cov10_gate_ood
camelyon17,convnext_tiny,33560,16780,16780,0.809318538663879,0.5,msp,0.8462870597836282,0.9286990256179675,0.8112770813370672,0.8462870597836282,0.36989442001551953,0.30501798857196605,0.36989442001551953
camelyon17,densenet121,33560,16780,16780,0.6163574566883714,0.5,msp,0.8839667969613247,0.9884914338792213,0.8808953085907452,0.8839667969613247,0.07842076798269335,0.3884708538105204,0.07842076798269335
camelyon17,effb3,33560,16780,16780,0.5681201432172412,0.5,msp,0.8040464015106661,0.9766226745159977,0.8658148519570531,0.8040464015106661,0.10652056340677687,0.5124626707738613,0.10652056340677687
camelyon17,efficientnet_v2_s,33560,16780,16780,0.7970429491550016,0.5,msp,0.7272539091970822,0.9088883121521367,0.8390649078074299,0.7272539091970822,0.35172948950078775,0.5863686599101747,0.35172948950078775
camelyon17,mobilenet_v3_large,33560,16780,16780,0.8162176128011538,0.5,msp,0.77152031130584,0.8704872467895528,0.6964689045756054,0.77152031130584,0.9035201166317869,0.8316011004773438,0.9035201166317869
camelyon17,regnet_y_3_2gf,33560,16780,16780,0.7942432320911501,0.5,msp,0.7857459324095387,0.9643341474740872,0.778848809869173,0.7857459324095387,0.4402614809415195,0.5644884426364427,0.4402614809415195
camelyon17,resnet18,33560,16780,16780,0.49902869502196884,0.5,mahalanobis,0.5753894784307679,0.9613891170113537,0.7182498786510249,0.9613891170113537,0.14456698097679122,0.3041597103016907,0.3041597103016907
camelyon17,resnet50,33560,16780,16780,0.4081977702514157,0.5,mahalanobis,0.5159661762801298,0.9191365350927727,0.7374574129488738,0.9191365350927727,0.14914054600606674,0.15792320173066524,0.15792320173066524
skin_isic_pad,resnet18,193,96,97,0.7520482908301681,0.5,msp,0.7257902434209936,0.9302172216091087,0.7841825702313979,0.7257902434209936,0.0004351610095735422,,0.0004351610095735422
skin_isic_pad,resnet50,193,96,97,0.8264107433532285,0.5,msp,0.704658017280827,0.9344521906094946,0.8355988623007008,0.704658017280827,,,
skin_isic_pad,effb3,193,96,97,0.7981144872490505,0.5,msp,0.697908535436462,0.9449992373466842,0.7610113680206005,0.697908535436462,,0.006092254134029591,
skin_isic_pad,densenet121,193,96,97,0.72561041779707,0.5,msp,0.6843826545718824,0.9706782231074982,0.7588669663445577,0.6843826545718824,0.0008703220191470844,0.022628372497824196,0.0008703220191470844
skin_isic_pad,convnext_tiny,193,96,97,0.5342240911557244,0.5,msp,0.7480013996931443,0.9427830565350417,0.8084259732802168,0.7480013996931443,0.0004351610095735422,0.0017406440382941688,0.0004351610095735422
skin_isic_pad,mobilenet_v3_large,193,96,97,0.7252984264785675,0.5,msp,0.710743542120894,0.9266551820049707,0.763546068746467,0.710743542120894,0.0004351610095735422,0.0017406440382941688,0.0004351610095735422
skin_isic_pad,regnet_y_3_2gf,193,96,97,0.7083966359196961,0.5,msp,0.7135877903690345,0.9587853175778132,0.731931845710748,0.7135877903690345,0.004786771105308964,0.005657093124456049,0.004786771105308964
skin_isic_pad,efficientnet_v2_s,193,96,97,0.6655860010851872,0.5,msp,0.8112163871766576,0.9260360869604228,0.8626551102258351,0.8112163871766576,,0.2145343777197563,
