domain,model,protocol,method,ood_auroc,aurc,coverage_at_risk10,coverage_at_risk15,full_risk,n
camelyon17,resnet18,id_selective,msp,0.5743335363500264,7.638196041471317e-05,1.0,1.0,0.004618593563766371,33560
camelyon17,resnet18,ood_triage,msp,0.5743335363500264,0.34218107186213015,0.14456698097679122,0.18043830977966938,0.4985891316105062,85054
camelyon17,resnet18,id_selective,energy,0.5691424314029707,7.527463354654269e-05,1.0,1.0,0.004618593563766371,33560
camelyon17,resnet18,ood_triage,energy,0.5691424314029707,0.3437034832065721,0.1423448632633386,0.17836903614174524,0.4985891316105062,85054
camelyon17,resnet18,id_selective,mahalanobis,0.9611539997810546,0.00018553070698158265,1.0,1.0,0.004618593563766371,33560
camelyon17,resnet18,ood_triage,mahalanobis,0.9611539997810546,0.242872478357505,0.3041597103016907,0.3572201189832342,0.4985891316105062,85054
camelyon17,resnet50,id_selective,msp,0.5149744715920921,8.247228490406217e-05,1.0,1.0,0.004648390941597191,33560
camelyon17,resnet50,ood_triage,msp,0.5149744715920921,0.34631133905660955,0.14914054600606674,0.17513579608248878,0.45027864650692506,85054
camelyon17,resnet50,id_selective,energy,0.5121590070325651,8.41399500820545e-05,1.0,1.0,0.004648390941597191,33560
camelyon17,resnet50,ood_triage,energy,0.5121590070325651,0.34697476805601707,0.14909351705975027,0.17497119477038117,0.45027864650692506,85054
camelyon17,resnet50,id_selective,mahalanobis,0.9181810974156978,0.00017231713729661766,1.0,1.0,0.004648390941597191,33560
camelyon17,resnet50,ood_triage,mahalanobis,0.9181810974156978,0.2774729228052357,0.15792320173066524,0.20256542902156277,0.45027864650692506,85054
camelyon17,effb3,id_selective,msp,0.8025890589300444,6.30858162778553e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,msp,0.8025890589300444,0.29537628685433315,0.10652056340677687,0.1263197498060056,0.3579373104145601,85054
camelyon17,effb3,id_selective,energy,0.8024176161043928,6.163426535486353e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,energy,0.8024176161043928,0.29425840062053593,0.10790791732311238,0.12808333529287277,0.3579373104145601,85054
camelyon17,effb3,id_selective,mahalanobis,0.9761886776382376,0.0004745330911013885,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,mahalanobis,0.9761886776382376,0.14262705096022926,0.5124626707738613,0.5968090859924283,0.3579373104145601,85054
camelyon17,effb3_224,id_selective,msp,0.7871400800187152,7.586042851733981e-05,1.0,1.0,0.004558998808104842,33560
camelyon17,effb3_224,ood_triage,msp,0.7871400800187152,0.25556221914061705,0.013085804312554378,0.017682883814988126,0.2987631387118772,85054
camelyon17,effb3_224,id_selective,energy,0.7924024712702324,7.509373748727126e-05,1.0,1.0,0.004558998808104842,33560
camelyon17,effb3_224,ood_triage,energy,0.7924024712702324,0.2530416534525051,0.014578973358101911,0.01885860747289957,0.2987631387118772,85054
camelyon17,effb3_224,id_selective,mahalanobis,0.9670572860211671,0.000732547866478383,1.0,1.0,0.004558998808104842,33560
camelyon17,effb3_224,ood_triage,mahalanobis,0.9670572860211671,0.13915294183656537,0.43085569167822796,0.5461001246267078,0.2987631387118772,85054
midog,resnet18,id_selective,msp,0.437998936142924,0.04436387193231718,0.8047808764940239,0.9442231075697212,0.1633466135458167,251
midog,resnet18,ood_triage,msp,0.437998936142924,0.11299302158016794,0.44222297526262283,0.6496103015926804,0.23161640121992544,5902
midog,resnet18,id_selective,energy,0.3760687510884959,0.06589661872399231,0.6454183266932271,0.9641434262948207,0.1633466135458167,251
midog,resnet18,ood_triage,energy,0.3760687510884959,0.12993591870509022,0.3273466621484243,0.5652321247034904,0.23161640121992544,5902
midog,resnet18,id_selective,mahalanobis,0.7326724953793771,0.12414024251623842,0.09561752988047809,0.9442231075697212,0.1633466135458167,251
midog,resnet18,ood_triage,mahalanobis,0.7326724953793771,0.19976888684618627,0.009488309047780414,0.020670958996950185,0.23161640121992544,5902
midog,resnet50,id_selective,msp,0.5124496929260255,0.03480608010176035,0.8764940239043825,1.0,0.13147410358565736,251
midog,resnet50,ood_triage,msp,0.5124496929260255,0.12260712810485112,0.16621484242629617,0.7392409352761775,0.2134869535750593,5902
midog,resnet50,id_selective,energy,0.5184008122035747,0.0413755188370095,0.8844621513944223,1.0,0.13147410358565736,251
midog,resnet50,ood_triage,energy,0.5184008122035747,0.13252880577049594,0.08166723144696712,0.6260589630633684,0.2134869535750593,5902
midog,resnet50,id_selective,mahalanobis,0.8103941401456188,0.12122480047483249,0.043824701195219126,1.0,0.13147410358565736,251
midog,resnet50,ood_triage,mahalanobis,0.8103941401456188,0.20752153724417274,0.0008471704506946798,0.002541511352084039,0.2134869535750593,5902
midog,effb3,id_selective,msp,0.4856791066840736,0.046287845021644555,0.7848605577689243,0.9641434262948207,0.1633466135458167,251
midog,effb3,ood_triage,msp,0.4856791066840736,0.06164458420572833,0.7123009149440868,0.8575059301931549,0.19484920365977632,5902
midog,effb3,id_selective,energy,0.5332468836953103,0.05758495032502235,0.6892430278884463,0.9402390438247012,0.1633466135458167,251
midog,effb3,ood_triage,energy,0.5332468836953103,0.07562622734974384,0.6082683835987801,0.8405625211792612,0.19484920365977632,5902
midog,effb3,id_selective,mahalanobis,0.6518183450542121,0.1943326711156907,0.0199203187250996,0.027888446215139442,0.1633466135458167,251
midog,effb3,ood_triage,mahalanobis,0.6518183450542121,0.22282256881212914,0.00016943409013893597,0.00016943409013893597,0.19484920365977632,5902
