domain,model,protocol,method,ood_auroc,aurc,coverage_at_risk10,coverage_at_risk15,full_risk,n
midog,convnext_tiny,id_selective,msp,0.5206071680745672,0.03151360608849508,0.9163346613545816,1.0,0.12749003984063745,251
midog,convnext_tiny,ood_triage,msp,0.5206071680745672,0.06298094376535357,0.7095899695018638,0.8580142324635717,0.19823788546255505,5902
midog,convnext_tiny,id_selective,energy,0.5601740783393029,0.03198601312690021,0.9561752988047809,1.0,0.12749003984063745,251
midog,convnext_tiny,ood_triage,energy,0.5601740783393029,0.06899833694539695,0.6577431379193494,0.8344628939342595,0.19823788546255505,5902
midog,convnext_tiny,id_selective,mahalanobis,0.799943566972368,0.05413704876683736,0.8047808764940239,1.0,0.12749003984063745,251
midog,convnext_tiny,ood_triage,mahalanobis,0.799943566972368,0.11277100406503142,0.41206370721789226,0.6343612334801763,0.19823788546255505,5902
midog,densenet121,id_selective,msp,0.4465772963719503,0.041912677381928665,0.848605577689243,0.9880478087649402,0.15537848605577687,251
midog,densenet121,ood_triage,msp,0.4465772963719503,0.13015420751998358,0.08759742460182988,0.6645205015249068,0.21856997627922736,5902
midog,densenet121,id_selective,energy,0.4314547975498885,0.045093206052006105,0.8406374501992032,0.9721115537848606,0.15537848605577687,251
midog,densenet121,ood_triage,energy,0.4314547975498885,0.10254957785829152,0.47644866147068793,0.7832937987123009,0.21856997627922736,5902
midog,densenet121,id_selective,mahalanobis,0.9315169008817322,0.13739524388269542,0.01195219123505976,0.9402390438247012,0.15537848605577687,251
midog,densenet121,ood_triage,mahalanobis,0.9315169008817322,0.2075838044465113,0.021687563537783804,0.0410030498136225,0.21856997627922736,5902
midog,effb3,id_selective,msp,0.4856791066840736,0.046287845021644555,0.7848605577689243,0.9641434262948207,0.1633466135458167,251
midog,effb3,ood_triage,msp,0.4856791066840736,0.06164458420572833,0.7123009149440868,0.8575059301931549,0.19484920365977632,5902
midog,effb3,id_selective,energy,0.5332468836953103,0.05758495032502235,0.6892430278884463,0.9402390438247012,0.1633466135458167,251
midog,effb3,ood_triage,energy,0.5332468836953103,0.07562622734974384,0.6082683835987801,0.8405625211792612,0.19484920365977632,5902
midog,effb3,id_selective,mahalanobis,0.6518183450542121,0.1943326711156907,0.0199203187250996,0.027888446215139442,0.1633466135458167,251
midog,effb3,ood_triage,mahalanobis,0.6518183450542121,0.22282256881212914,0.00016943409013893597,0.00016943409013893597,0.19484920365977632,5902
midog,efficientnet_v2_s_224,id_selective,msp,0.49312138096208863,0.04339671851510692,0.8406374501992032,1.0,0.1394422310756972,251
midog,efficientnet_v2_s_224,ood_triage,msp,0.49312138096208863,0.05553175297443421,0.7609284988139614,0.9291765503219248,0.17468654693324293,5902
midog,efficientnet_v2_s_224,id_selective,energy,0.5078985987598235,0.0513605165583748,0.8247011952191236,1.0,0.1394422310756972,251
midog,efficientnet_v2_s_224,ood_triage,energy,0.5078985987598235,0.06923007320712651,0.6709589969501863,0.8991867163673332,0.17468654693324293,5902
midog,efficientnet_v2_s_224,id_selective,mahalanobis,0.5593593096269615,0.11037591569694123,0.043824701195219126,1.0,0.1394422310756972,251
midog,efficientnet_v2_s_224,ood_triage,mahalanobis,0.5593593096269615,0.13817301450616884,0.00033886818027787193,0.7436462216197899,0.17468654693324293,5902
midog,mobilenet_v3_large,id_selective,msp,0.46925412548383216,0.045283195838481546,0.796812749003984,0.9721115537848606,0.15936254980079678,251
midog,mobilenet_v3_large,ood_triage,msp,0.46925412548383216,0.08042224952904978,0.6421552016265673,0.8249745848864791,0.20670958996950184,5902
midog,mobilenet_v3_large,id_selective,energy,0.4581389791562317,0.06226366116917957,0.7729083665338645,0.9880478087649402,0.15936254980079678,251
midog,mobilenet_v3_large,ood_triage,energy,0.4581389791562317,0.10805009245488681,0.510504913588614,0.7541511352084039,0.20670958996950184,5902
midog,mobilenet_v3_large,id_selective,mahalanobis,0.6952805518016042,0.10873823510650588,0.649402390438247,0.9641434262948207,0.15936254980079678,251
midog,mobilenet_v3_large,ood_triage,mahalanobis,0.6952805518016042,0.1531022001974234,0.00016943409013893597,0.16282616062351746,0.20670958996950184,5902
midog,regnet_y_3_2gf,id_selective,msp,0.5531857659163415,0.04032921167141319,0.8366533864541833,1.0,0.14342629482071712,251
midog,regnet_y_3_2gf,ood_triage,msp,0.5531857659163415,0.0993040760445825,0.5542189088444595,0.7907488986784141,0.20992883768214166,5902
midog,regnet_y_3_2gf,id_selective,energy,0.6091587563672791,0.048238810803278985,0.8007968127490039,1.0,0.14342629482071712,251
midog,regnet_y_3_2gf,ood_triage,energy,0.6091587563672791,0.10929143228203511,0.4525584547610979,0.7119620467638089,0.20992883768214166,5902
midog,regnet_y_3_2gf,id_selective,mahalanobis,0.929783070361725,0.1582435075386713,0.0796812749003984,1.0,0.14342629482071712,251
