domain,backbone,seed,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,logit_gap_estimator
skin_isic_pad,resnet18,42,0.934750650486794,0.7358076633432089,0.198942987143585,-2.584519909262405,-3.108373059093546,-2.117145751290253,trim_1pct
skin_isic_pad,resnet50,42,0.9665692627515704,0.6975676077869019,0.2690016549646685,-3.052868180227853,-3.770223169433077,-2.4144944104807826,trim_1pct
skin_isic_pad,effb3,42,0.9510207118602796,0.70330925292099,0.2477114589392895,-2.359987364215404,-2.85840068791294,-1.8996344955760784,trim_1pct
cifar10_svhn,resnet18,42,0.9974453057775048,0.9587042140442532,0.0387410917332514,-7.42418241264651,-7.491198980503883,-7.354347650829724,trim_1pct
cifar10_svhn,resnet50,42,0.998153555239705,0.964196446681008,0.0339571085586969,-7.49763606170023,-7.556050990313045,-7.447014481999258,trim_1pct
cifar10_svhn,effb3,42,0.9984617393976644,0.9751717712814996,0.0232899681161649,-6.783074150110015,-6.822846281309582,-6.744077710876177,trim_1pct
camelyon17,resnet18,42,0.910625741816466,0.7847266977106293,0.1258990441058366,-5.435292355367545,-5.497427623891271,-5.372975050910998,trim_1pct
camelyon17,resnet50,42,0.934972357041182,0.7737481936035981,0.1612241634375838,-5.680965596875731,-5.748632153009449,-5.611501358995722,trim_1pct
camelyon17,effb3,42,0.8324856484289739,0.693785727495339,0.1386999209336349,-2.1017418739307807,-2.3531532987617827,-1.8080648527867649,trim_1pct
midog,resnet50,42,0.5876932797444583,0.5336022902628725,0.0540909894815857,-0.1477238432550143,-0.2874695020700712,-0.0218069880283626,trim_1pct
